144,200,145,200,144,200,0,144,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,AEFA,146,AEFA,140,05F9,0,FFFA,05F9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,EEFA,147,EEFA,141,05F9,0,FFFA,05F9,0,141,05F9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,200,148,200,147,200,0,147,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,1205,149,1205,148,1205,0,148,40,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,2F40,14A,2F40,149,40,0,40,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14A,F0FC,14B,F0FC,14A,F0FC,0,014A,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14B,1204,14C,1204,14B,1204,0,014B,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14C,7EF5,14D,7EF5,142,000D,0,FFF5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14D,F00C,14E,F00C,14D,F00C,0,014D,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14E,680,14F,680,14E,680,0,014E,E400,1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14F,EEF3,150,EEF3,143,E400,0,FFF3,E400,1001,143,E400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,1205,151,1205,150,1205,0,150,E440,1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,2F40,152,2F40,151,40,0,40,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,F0FD,153,F0FD,152,F0FD,0,152,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,1204,154,1204,153,1204,0,153,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,4EEE,155,4EEE,143,E400,0,FFEE,E4E1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,EAEB,156,EAEB,5F9,E4E1,0,FFEB,E4E1,1000,141,05FA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,5F9,E4E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5F9,E4E1
156,600,157,600,156,600,0,156,FFE1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,7EEA,158,7EEA,142,000D,0,FFEA,FFE1,1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,F003,159,F003,158,F003,0,158,FFE1,1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,CEED,147,CEED,159,147,0,FFED,FFE1,1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,200,148,200,147,200,0,147,0,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,1205,149,1205,148,1205,0,148,40,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,2F40,14A,2F40,149,40,0,40,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14A,F0FC,14B,F0FC,14A,F0FC,0,014A,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14B,1204,14C,1204,14B,1204,0,014B,000D,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14C,7EF5,14D,7EF5,142,000D,0,FFF5,000D,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14D,F00C,15A,F00C,14D,F00C,0,000C,000D,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15A,680,15B,680,15A,680,0,015A,0D00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15B,E8E5,15C,E8E5,5FA,0D00,0,FFE5,0D00,1,5FA,0D00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15C,100,15D,100,15C,100,0,015C,0D00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
